DrugName,ActiveIngredient,PageNumber,Category
Mextil 500,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Mextil-250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Meyer Omeprazole,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Meyeralene,Alimemazin,160,"Đối kháng thụ thể histamin h 1, thuốc an thần"
Meyeralgan,Paracetamol,1118,Giảm đau; hạ sốt
HMG,CoA Reductase,285,"Chống co thắt, kháng muscarinic"
HMG,CoA reductase,285,"Chống co thắt, kháng muscarinic"
Meyerazol,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Meyerbroxol,Ambroxol,175,Thuốc long đờm
Meyerceti,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Meyercipro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Meyerclari,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Meyerclari 500,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Meyerdecontyl,Mephenesin,944,Thuốc giãn cơ và giảm đau
Meyerdex,Dexamethason,500,Glucocorticoid
Meyerdipin 5,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Meyerdogtil,Sulpirid,1314,Thuốc chống loạn thần
Meyerflam,Diclofenac,515,Thuốc chống viêm không steroid
Meyergoric,Loperamid,918,Thuốc trị ỉa chảy
Meyerhexin,Bromhexin hydroclorid,269,Thuốc long đờm
Meyerifa,Rifampicin,1245,Vitamin
Meyerlapril 5,Enalapril,582,"Thuốc chống tăng huyết áp, nhóm ức chế enzym"
Meyerlapril 10,Enalapril,582,"Thuốc chống tăng huyết áp, nhóm ức chế enzym"
Meyernife SR,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
Meyerpanzol,Pantoprazol,1115,"Thuốc ức chế bơm proton, ức chế tiết acid dịch vị"
Meyerpulgit,Atapulgit,218,Chất hấp phụ chống ỉa chảy
Meyersucral,Sucralfat,1310,"Thuốc bảo vệ niêm mạc dạ dày; điều trị loét dạ dày,"
Meyertadin,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Meyertidin,Cimetidin,389,"Thuốc ức chế kết tập tiểu cầu và giãn mạch, thuốc ức"
HMG,CoA reductase,285,"Chống co thắt, kháng muscarinic"
HMG,CoA reductase,285,"Chống co thắt, kháng muscarinic"
Meyerverin,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Mezathion,Spironolacton,1301,Thuốc lợi tiểu kháng aldosteron
Mezicef,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Mezidtan,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
MGP Axinex-1000,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
MGP Moxinase-625,Amoxicilin và kali clavulanat,192,Kháng sinh
Miacalcic,Calcitonin,301,"Thuốc điều trị vảy nến (dùng ngoài), dẫn chất vitamin"
Mianifax,Nimodipin,1060,"Thuốc chẹn kênh calci dẫn xuất của 1,4-dihydropyridin,"
Miaryl,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Miazidin,Trimetazidin,1412,Thuốc chống đau thắt ngực/chống thiếu máu cơ tim
Mibecerex,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Mibelexin,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Mibeproxil,Tenofovir,1335,Thuốc kháng retrovirus
Mibeviru,Aciclovir,114,Thuốc chống virus
Micardis,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Micipro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon
Micomedil,Miconazol,984,Nhóm imidazol chống nấm
Miconazole,Miconazol,984,Nhóm imidazol chống nấm
Micotrin,Tioconazol,1386,Thuốc chống nấm (tại chỗ)
Micrex-250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Micrex-500,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Micro Celecoxib-100,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Micro Celecoxib-200,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Microcetam,Piracetam,1159,Thuốc trị giun
Microleptin,Gabapentin,705,"Thuốc chống động kinh, điều trị đau thần kinh"
Micropime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Microstun,Metronidazol,979,Thuốc diệt giun sán
Midaclo 125,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Midaclo 250,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Midaclo 500,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Midactam,Ampicilin và sulbactam,201,Kháng khuẩn (toàn thân)
Midafaclo,Cefazolin,343,Kháng sinh cephalosporin thế hệ 1
Midafra,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1
Midafra 500,Cefradin,366,Kháng sinh nhóm cephalosporin thế hệ 1
Midagentin 500/125,Amoxicilin và kali clavulanat,192,Kháng sinh
Midakacin 250,Amikacin,176,Kháng sinh họ aminoglycosid
Midakacin 500,Amikacin,176,Kháng sinh họ aminoglycosid
Midamox 250,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Midamox 500,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Midampi,Ampicilin,199,"Kháng sinh nhóm beta-lactam, phân nhóm penicilin a"
Midancef,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Midancef 125,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Midancef 250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Midancef 500,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Midanium,Midazolam,986,Thuốc an thần nhóm benzodiazepin
"Midantin 250/62,5",Amoxicilin và kali clavulanat,192,Kháng sinh
Midantin 300/75,Amoxicilin và kali clavulanat,192,Kháng sinh
"Midantin 500/62,5",Amoxicilin và kali clavulanat,192,Kháng sinh
Midantin 500/125,Amoxicilin và kali clavulanat,192,Kháng sinh
Midantin 600/150,Amoxicilin và kali clavulanat,192,Kháng sinh
Midataxim,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Midazolam-hameln,Midazolam,986,Thuốc an thần nhóm benzodiazepin
Midazolam Rotexmedica,Midazolam,986,Thuốc an thần nhóm benzodiazepin
Midazolam-Teva,Midazolam,986,Thuốc an thần nhóm benzodiazepin
Midcon,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Midefix 10,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midiltec,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Midoxime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Midoxime 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midoxime 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midoxime 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Mifanicol,Cloramphenicol,431,Kháng sinh
Miganil 5,Flunarizin,678,Thuốc chẹn kênh calci
Migariz-5,Flunarizin,678,Thuốc chẹn kênh calci
Migazine-5,Flunarizin,678,Thuốc chẹn kênh calci
Migocap 10,Flunarizin,678,Thuốc chẹn kênh calci
Migranol,Sumatriptan,1316,Chưa phân loại
Mikacin,Amikacin,176,Kháng sinh họ aminoglycosid
Mikalogis,Amikacin,176,Kháng sinh họ aminoglycosid
Miko-Penotran,Miconazol,984,Nhóm imidazol chống nấm
Milanem Inj,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Milanmac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Milcerof Inj.,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Mildocap,Captopril,314,Thuốc ức chế men chuyển
Mildotab,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Mildotab-10,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Mildotac,Ketorolac,867,Chưa phân loại
Mileat Tab.,Triamcinolon,1407,Glucocorticoid
Milflox,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Milrinone,Milrinon,988,Thuốc ức chế chọn lọc phosphodiesterase typ 3
Milurit,Alopurinol,162,Thuốc chống gút
Mincom,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Minicef 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Minicef 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Mininif,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
Minipir,Piracetam,1159,Thuốc trị giun
Minocycline,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minolox-100,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minolox-50,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minovir,Tenofovir,1335,Thuốc kháng retrovirus
Mioxen 625,Amoxicilin và kali clavulanat,192,Kháng sinh
Mipanti,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Mipartor,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Miracef 100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracef 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracef 50 OS,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Miraclav 1000,Amoxicilin và kali clavulanat,192,Kháng sinh
Miraclav 625,Amoxicilin và kali clavulanat,192,Kháng sinh
Miradone,Amiodaron,180,Thuốc chống loạn nhịp tim
Mirafo prefilled,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Mirafo prefilled inj,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Mirapime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Mirastad 15,Mirtazapin,993,Thuốc chống trầm cảm
Mirastad 30,Mirtazapin,993,Thuốc chống trầm cảm
Miratan 25,Losartan,927,Chất đối kháng thụ thể at
Miratan 50,Losartan,927,Chất đối kháng thụ thể at
Miratel 40,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Miratel 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Miratex susp,Sucralfat,1310,"Thuốc bảo vệ niêm mạc dạ dày; điều trị loét dạ dày,"
Mirazep-15,Mirtazapin,993,Thuốc chống trầm cảm
Mirazep-30,Mirtazapin,993,Thuốc chống trầm cảm
Mirazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Mirgy,Gabapentin,705,"Thuốc chống động kinh, điều trị đau thần kinh"
Mirtaz 15,Mirtazapin,993,Thuốc chống trầm cảm
Mirtaz 30,Mirtazapin,993,Thuốc chống trầm cảm
Mirtazapine,Mirtazapin,993,Thuốc chống trầm cảm
Mirteva,Mirtazapin,993,Thuốc chống trầm cảm
Misadin Tab.,Doxazosin,566,Thuốc ức chế thụ thể alpha-adrenergic
Misanlugel,Nhôm phosphat,1048,Kháng acid
Misoclear,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Misoplus,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Misoprostol Stada,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Misugal,Paracetamol,1118,Giảm đau; hạ sốt
Mitafix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Miten-400,Albendazol,150,Thuốc trị giun sán
Mithoease,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Mitotax,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitotax 100,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitotax 250,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitoxantron “Ebewe”,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitoxantrone hydrochloride,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitoxgen,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitrazin,Mirtazapin,993,Thuốc chống trầm cảm
Mitricort,Miconazol,984,Nhóm imidazol chống nấm
Midefix 10,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midefix 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midiltec,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Midoxime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Midoxime 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midoxime 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Midoxime 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Mifanicol,Cloramphenicol,431,Kháng sinh
Miganil 5,Flunarizin,678,Thuốc chẹn kênh calci
Migariz-5,Flunarizin,678,Thuốc chẹn kênh calci
Migazine-5,Flunarizin,678,Thuốc chẹn kênh calci
Migocap 10,Flunarizin,678,Thuốc chẹn kênh calci
Migranol,Sumatriptan,1316,Chưa phân loại
Mikacin,Amikacin,176,Kháng sinh họ aminoglycosid
Mikalogis,Amikacin,176,Kháng sinh họ aminoglycosid
Miko-Penotran,Miconazol,984,Nhóm imidazol chống nấm
Milanem Inj,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Milanmac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Milcerof Inj.,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3
Mildocap,Captopril,314,Thuốc ức chế men chuyển
Mildotab,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Mildotab-10,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Mildotac,Ketorolac,867,Chưa phân loại
Mileat Tab.,Triamcinolon,1407,Glucocorticoid
Milflox,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Milrinone,Milrinon,988,Thuốc ức chế chọn lọc phosphodiesterase typ 3
Milurit,Alopurinol,162,Thuốc chống gút
Mincom,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Minicef 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Minicef 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Mininif,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin"
Minipir,Piracetam,1159,Thuốc trị giun
Minocycline,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minolox-100,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minolox-50,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin
Minovir,Tenofovir,1335,Thuốc kháng retrovirus
Mioxen 625,Amoxicilin và kali clavulanat,192,Kháng sinh
Mipanti,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Mipartor,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Miracef 100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracef 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracef 50 OS,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Miracin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Miraclav 1000,Amoxicilin và kali clavulanat,192,Kháng sinh
Miraclav 625,Amoxicilin và kali clavulanat,192,Kháng sinh
Miradone,Amiodaron,180,Thuốc chống loạn nhịp tim
Mirafo prefilled,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Mirafo prefilled inj,Erythropoietin,611,Thuốc kích thích tạo hồng cầu
Mirapime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Mirastad 15,Mirtazapin,993,Thuốc chống trầm cảm
Mirastad 30,Mirtazapin,993,Thuốc chống trầm cảm
Miratan 25,Losartan,927,Chất đối kháng thụ thể at
Miratan 50,Losartan,927,Chất đối kháng thụ thể at
Miratel 40,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Miratel 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii
Miratex susp,Sucralfat,1310,"Thuốc bảo vệ niêm mạc dạ dày; điều trị loét dạ dày,"
Mirazep-15,Mirtazapin,993,Thuốc chống trầm cảm
Mirazep-30,Mirtazapin,993,Thuốc chống trầm cảm
Mirazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Mirgy,Gabapentin,705,"Thuốc chống động kinh, điều trị đau thần kinh"
Mirtaz 15,Mirtazapin,993,Thuốc chống trầm cảm
Mirtaz 30,Mirtazapin,993,Thuốc chống trầm cảm
Mirtazapine,Mirtazapin,993,Thuốc chống trầm cảm
Mirteva,Mirtazapin,993,Thuốc chống trầm cảm
Misadin Tab.,Doxazosin,566,Thuốc ức chế thụ thể alpha-adrenergic
Misanlugel,Nhôm phosphat,1048,Kháng acid
Misoclear,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Misoplus,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp
Misoprostol Stada,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Misugal,Paracetamol,1118,Giảm đau; hạ sốt
Mitafix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Miten-400,Albendazol,150,Thuốc trị giun sán
Mithoease,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,"
Mitotax,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitotax 100,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitotax 250,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên
Mitoxantron “Ebewe”,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitoxantrone hydrochloride,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitoxgen,Mitoxantron hydroclorid,999,Thuốc chống ung thư
Mitrazin,Mirtazapin,993,Thuốc chống trầm cảm
Mitricort,Miconazol,984,Nhóm imidazol chống nấm
Mitricort 200,Miconazol,984,Nhóm imidazol chống nấm
Mitux,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mitux E,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mixtard 30,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo"
Mixtard 30 FlexPen,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo"
Mixylin,Doxycyclin,573,Kháng sinh nhóm tetracyclin
Mizatin cap,Nizatidin,1063,Thuốc kháng thụ thể h
MMR -II,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại
MMR vắc xin,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại
MMR vaccine,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại
Mobic,Meloxicam,940,Thuốc chống viêm không steroid
Mobilat S,Indomethacin,808,Thuốc chống viêm không steroid
Mobimed,Meloxicam,940,Thuốc chống viêm không steroid
"Mobimed 7,5",Meloxicam,940,Thuốc chống viêm không steroid
Mobimed 15,Meloxicam,940,Thuốc chống viêm không steroid
Mobitena,Meloxicam,940,Thuốc chống viêm không steroid
Mocecil,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Modalim,Ciprofibrat,392,Thuốc hạ lipid huyết (nhóm fibrat)
Mofen-400,Ibuprofen,786,Thuốc chống viêm không steroid
Mofirum,Domperidon,559,Thuốc nhuận tràng làm mềm phân
Moflox,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moktin,Ranitidin,1232,Đối kháng thụ thể h2 histamin
Molid 300,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Molocam,Meloxicam,940,Thuốc chống viêm không steroid
Momate,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào
Mome-Air,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào
Momesone,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào
Mometasone furoate,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào
Momvina,Dimenhydrinat,536,"Thuốc kháng histamin (h1) gây ngủ, thế hệ thứ nhất"
Mon Parin,Heparin,767,Chống đông máu
Monalis,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4
Monan-MJ,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Monbig,Meloxicam,940,Thuốc chống viêm không steroid
Monizol,Metronidazol,979,Thuốc diệt giun sán
Monocan 150,Fluconazol,666,Chống nấm
Monocef,O100 - Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Monocef,O200 - Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Monoclarium,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp
Monovas,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Moov 7.5,Meloxicam,940,Thuốc chống viêm không steroid
Moov 15,Meloxicam,940,Thuốc chống viêm không steroid
Mopalic,Meloxicam,940,Thuốc chống viêm không steroid
Moprazol,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Moquin,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moquin tab,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moratam,Piracetam,1159,Thuốc trị giun
Morcvax,Vắc xin tả,1443,Thuốc tạo miễn dịch chủ động (vắc xin)
Morecare Tablet,Metformin,955,Thuốc giải độc
Morecef 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Morecef 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Morganin,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Morif,Meloxicam,940,Thuốc chống viêm không steroid
Morphin,Morphin sulfat,1005,"Thuốc giảm đau gây nghiện, opioid"
Morphine sulfate,Morphin sulfat,1005,"Thuốc giảm đau gây nghiện, opioid"
Motalv,Alverin citrat,172,Chống co thắt cơ trơn
Motamse,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Motaneal,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào
Motidram,Cinarizin,391,Kháng histamin h
Motiridon,Domperidon,559,Thuốc nhuận tràng làm mềm phân
Motisin inj.,Chymotrypsin,382,Enzym thủy phân protein (trợ giúp phẫu thuật)
Mouthpaste,Triamcinolon,1407,Glucocorticoid
Movapycin,Spiramycin,1299,Kháng sinh (aminocyclitol)
Movepain,Ketorolac,867,Chưa phân loại
Moxacin,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Moxflo,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moxibac,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moxibact-400,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moxi-Bio,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moxicle,Amoxicilin và kali clavulanat,192,Kháng sinh
Moxicle Duo,Amoxicilin và kali clavulanat,192,Kháng sinh
Moxilen,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin"
Moxipex 400,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon
Moz-Bite,Crotamiton,469,Thuốc chống dị ứng
MPClor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2"
Mucapten,Paracetamol,1118,Giảm đau; hạ sốt
Mucobrima Granule,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mucocet,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mucokapp,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mucorid Granules,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mucoserine,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mucosolvan,Ambroxol,175,Thuốc long đờm
Mudis,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Mufmix,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế
Mulasmin-500,Azithromycin,227,Thuốc kháng sinh
Multisef,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Multuc 200,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mumtaz,Meloxicam,940,Thuốc chống viêm không steroid
Muối dinatri của acid etidromic,Etidronat dinatri,639,Chất ức chế tiêu xương; thuốc chống tăng calci huyết
Muscetam,Piracetam,1159,Thuốc trị giun
Musidin,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw"
Musily,Natri clorid,1030,Cung cấp chất điện giải
Mussan,Ambroxol,175,Thuốc long đờm
Mustret 500,Mephenesin,944,Thuốc giãn cơ và giảm đau
Mutastyl,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Muxco,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Muxenon,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Muxol,Ambroxol,175,Thuốc long đờm
Muxystine,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
MVV AC,Vắc xin sởi,1438,Vắc xin sống giảm độc lực
M-Xime,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Mybio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic
Mybrucin,Azithromycin,227,Thuốc kháng sinh
Mycomucc,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Mycorozal,Ketoconazol,861,Chống nấm có hoạt phổ rộng
Mycosyst,Fluconazol,666,Chống nấm
Mydriacyl,Tropicamid,1417,"Kháng histamin thế hệ 1, chất đối kháng thụ thể h"
Myercough,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều
Myeromax 500,Azithromycin,227,Thuốc kháng sinh
Mykezol,Ketoconazol,861,Chống nấm có hoạt phổ rộng
Myllancid 20,Rabeprazol,1228,Thuốc ức chế bơm proton
Mylom drops,Simeticon,1291,Chống đầy hơi
Myocur,Mephenesin,944,Thuốc giãn cơ và giảm đau
Myocur Forte,Mephenesin,944,Thuốc giãn cơ và giảm đau
Myolaxyl,Mephenesin,944,Thuốc giãn cơ và giảm đau
