DrugName,ActiveIngredient,PageNumber
Mincom,Levofloxacin,890
Minicef 100,Cefixim,351
Minicef 200,Cefixim,351
Mininif,Nifedipin,1056
Minipir,Piracetam,1159
Minocycline,Minocyclin,990
Minolox-100,Minocyclin,990
Minolox-50,Minocyclin,990
Minovir,Tenofovir,1335
Mioxen 625,Amoxicilin và kali clavulanat,192
Mipanti,Imipenem và thuốc ức chế enzym,800
Mipartor,Fenofibrat,652
Miracef 100,Cefpodoxim proxetil,363
Miracef 200,Cefpodoxim proxetil,363
Miracef 50 OS,Cefpodoxim proxetil,363
Miracin,Levofloxacin,890
Miraclav 1000,Amoxicilin và kali clavulanat,192
Miraclav 625,Amoxicilin và kali clavulanat,192
Miradone,Amiodaron,180
Mirafo prefilled,Erythropoietin,611
Mirafo prefilled inj,Erythropoietin,611
Mirapime,Cefepim,348
Mirastad 15,Mirtazapin,993
Mirastad 30,Mirtazapin,993
Miratan 25,Losartan,927
Miratan 50,Losartan,927
Miratel 40,Telmisartan,1328
Miratel 80,Telmisartan,1328
Miratex susp,Sucralfat,1310
Mirazep-15,Mirtazapin,993
Mirazep-30,Mirtazapin,993
Mirazole,Lansoprazol,879
Mirgy,Gabapentin,705
Mirtaz 15,Mirtazapin,993
Mirtaz 30,Mirtazapin,993
Mirtazapine,Mirtazapin,993
Mirteva,Mirtazapin,993
Misadin Tab.,Doxazosin,566
Misanlugel,Nhôm phosphat,1048
Misoclear,Misoprostol,994
Misoplus,Methylprednisolon,969
Misoprostol Stada,Misoprostol,994
Misugal,Paracetamol,1118
Mitafix 100,Cefixim,351
Miten-400,Albendazol,150
Mithoease,Misoprostol,994
Mitotax,Paclitaxel,1105
Mitotax 100,Paclitaxel,1105
Mitotax 250,Paclitaxel,1105
Mitoxantron “Ebewe”,Mitoxantron hydroclorid,999
Mitoxantrone hydrochloride,Mitoxantron hydroclorid,999
Mitoxgen,Mitoxantron hydroclorid,999
Mitrazin,Mirtazapin,993
Mitricort,Miconazol,984
Mitricort 200,Miconazol,984
Mitux,Acetylcystein,111
Mitux E,Acetylcystein,111
Mixtard 30,Insulin,810
Mixtard 30 FlexPen,Insulin,810
Mixylin,Doxycyclin,573
Mizatin cap,Nizatidin,1063
MMR -II,Vắc xin sởi - quai bị - rubella,1444
MMR vắc xin,Vắc xin sởi - quai bị - rubella,1444
MMR vaccine,Vắc xin sởi - quai bị - rubella,1444
Mobic,Meloxicam,940
Mobilat S,Indomethacin,808
Mobimed,Meloxicam,940
"Mobimed 7,5",Meloxicam,940
Mobimed 15,Meloxicam,940
Mobitena,Meloxicam,940
Mocecil,Amoxicilin,188
Modalim,Ciprofibrat,392
Mofen-400,Ibuprofen,786
Mofirum,Domperidon,559
Moflox,Moxifloxacin hydroclorid,1011
Moktin,Ranitidin,1232
Molid 300,Gemfibrozil,718
Molocam,Meloxicam,940
Momate,Mometason furoat,1003
Mome-Air,Mometason furoat,1003
Momesone,Mometason furoat,1003
Mometasone furoate,Mometason furoat,1003
Momvina,Dimenhydrinat,536
Mon Parin,Heparin,767
Monalis,Cefepim,348
Monan-MJ,Meropenem,950
Monbig,Meloxicam,940
Monizol,Metronidazol,979
Monocan 150,Fluconazol,666
Monocef,O100 - Cefpodoxim proxetil,363
Monocef,O200 - Cefpodoxim proxetil,363
Monoclarium,Clarithromycin,404
Monovas,Amlodipin,187
Moov 7.5,Meloxicam,940
Moov 15,Meloxicam,940
Mopalic,Meloxicam,940
Moprazol,Omeprazol,1080
Moquin,Moxifloxacin hydroclorid,1011
Moquin tab,Moxifloxacin hydroclorid,1011
Moratam,Piracetam,1159
Morcvax,Vắc xin tả,1443
Morecare Tablet,Metformin,955
Morecef 100,Cefixim,351
Morecef 200,Cefixim,351
Morganin,Arginin,205
Morif,Meloxicam,940
Morphin,Morphin sulfat,1005
Morphine sulfate,Morphin sulfat,1005
Motalv,Alverin citrat,172
Motamse,Amlodipin,187
Motaneal,Mometason furoat,1003
Motidram,Cinarizin,391
Motiridon,Domperidon,559
Motisin inj.,Chymotrypsin,382
Mouthpaste,Triamcinolon,1407
Movapycin,Spiramycin,1299
Movepain,Ketorolac,867
Moxacin,Amoxicilin,188
Moxflo,Moxifloxacin hydroclorid,1011
Moxibac,Moxifloxacin hydroclorid,1011
Moxibact-400,Moxifloxacin hydroclorid,1011
Moxi-Bio,Moxifloxacin hydroclorid,1011
Moxicle,Amoxicilin và kali clavulanat,192
Moxicle Duo,Amoxicilin và kali clavulanat,192
Moxilen,Amoxicilin,188
Moxipex 400,Moxifloxacin hydroclorid,1011
Moz-Bite,Crotamiton,469
MPClor,Cefaclor,329
Mucapten,Paracetamol,1118
Mucobrima Granule,Acetylcystein,111
Mucocet,Acetylcystein,111
Mucokapp,Acetylcystein,111
Mucorid Granules,Acetylcystein,111
Mucoserine,Acetylcystein,111
Mucosolvan,Ambroxol,175
Mudis,Terbinafin hydroclorid,1340
Mufmix,Esomeprazol,619
Mulasmin-500,Azithromycin,227
Multisef,Cefuroxim,375
Multuc 200,Acetylcystein,111
Mumtaz,Meloxicam,940
Muối dinatri của acid etidromic,Etidronat dinatri,639
Muscetam,Piracetam,1159
Musidin,Tizanidin hydroclorid,1390
Musily,Natri clorid,1030
Mussan,Ambroxol,175
Mustret 500,Mephenesin,944
Mutastyl,Acetylcystein,111
Muxco,Acetylcystein,111
Muxenon,Acetylcystein,111
Muxol,Ambroxol,175
Muxystine,Acetylcystein,111
MVV AC,Vắc xin sởi,1438
M-Xime,Cefixim,351
Mybio,Lactobacillus acidophilus,874
Mybrucin,Azithromycin,227
Mycomucc,Acetylcystein,111
Mycorozal,Ketoconazol,861
Mycosyst,Fluconazol,666
Mydriacyl,Tropicamid,1417
Myercough,Acetylcystein,111
Myeromax 500,Azithromycin,227
Mykezol,Ketoconazol,861
Myllancid 20,Rabeprazol,1228
Mylom drops,Simeticon,1291
Myocur,Mephenesin,944
Myocur Forte,Mephenesin,944
Myolaxyl,Mephenesin,944
Myoless Tab,Eperison hydroclorid,592
Myonal,Eperison hydroclorid,592
Myotab tab.,Eperison hydroclorid,592
Mypara,Paracetamol,1118
Mypara 100,Paracetamol,1118
Mypara 150,Paracetamol,1118
Mypara 325,Paracetamol,1118
Mypara 500,Paracetamol,1118
Mypara 650,Paracetamol,1118
Mypara ER,Paracetamol,1118
Mysoven Granules,Acetylcystein,111
Mysoven Granules 200,Acetylcystein,111
Mystrep,Streptomycin,1308
Mytob,Tobramycin,1392
Myung In Rifampicin cap.,Rifampicin,1245
Naatrapyl,Piracetam,1159
Nabifar,Natri bicarbonat,1027
Nabro,Ambroxol,175
Naceptil,Piracetam,1159
Nacofar,Natri clorid,1030
Nacova Dry Syrup,Amoxicilin và kali clavulanat,192
Nacova DT,Amoxicilin và kali clavulanat,192
Nacova-625,Amoxicilin và kali clavulanat,192
Nadecin,Isosorbid dinitrat,846
Nadeper,Dexamethason,500
Naderan,Diclofenac,515
Nadixlife,Acid nalidixic,134
Nadogrel,Clopidogrel,425
Nadroparin calcium,Nadroparin calci,1016
Nady-Anbe’tiq 850,Metformin,955
Nadylanzol,Lansoprazol,879
Nadymax 500,Azithromycin,227
NadyOflox,Ofloxacin,1076
Nafacipro,Ciprofloxacin,394
Nafisil,Terbinafin hydroclorid,1340
Nafixone,Naloxon,1018
Naformin,Metformin,955
Nagozole,Fluconazol,666
Nairet,Terbutalin sulfat,1341
Najuson Tabs.,Loratadin,923
Nakai,Clindamycin,407
Nakinase Inj,Urokinase,1419
Nakonol,Tinidazol,1383
Nalapran,Enalapril,582
Nalibigra 500,Acid nalidixic,134
Nalicid,Acid nalidixic,134
Nalidixic,Acid nalidixic,134
Nalidixic acid,Acid nalidixic,134
Nalidixic Acid Tablet IP,Acid nalidixic,134
Naligram,Acid nalidixic,134
Nalocif,Cefepim,348
Nalordia,Metformin,955
Naloxone,Naloxon,1018
Naloxone-hameln,Naloxon,1018
Naltre-50,Naltrexon,1020
Multisef,Cefuroxim,375
Multuc 200,Acetylcystein,111
Mumtaz,Meloxicam,940
Muối dinatri của acid etidromic,Etidronat dinatri,639
Muscetam,Piracetam,1159
Musidin,Tizanidin hydroclorid,1390
Musily,Natri clorid,1030
Mussan,Ambroxol,175
Mustret 500,Mephenesin,944
Mutastyl,Acetylcystein,111
Muxco,Acetylcystein,111
Muxenon,Acetylcystein,111
Muxol,Ambroxol,175
Muxystine,Acetylcystein,111
MVV AC,Vắc xin sởi,1438
M-Xime,Cefixim,351
Mybio,Lactobacillus acidophilus,874
Mybrucin,Azithromycin,227
Mycomucc,Acetylcystein,111
Mycorozal,Ketoconazol,861
Mycosyst,Fluconazol,666
Mydriacyl,Tropicamid,1417
Myercough,Acetylcystein,111
Myeromax 500,Azithromycin,227
Mykezol,Ketoconazol,861
Myllancid 20,Rabeprazol,1228
Mylom drops,Simeticon,1291
Myocur,Mephenesin,944
Myocur Forte,Mephenesin,944
Myolaxyl,Mephenesin,944
Myoless Tab,Eperison hydroclorid,592
Myonal,Eperison hydroclorid,592
Myotab tab.,Eperison hydroclorid,592
Mypara,Paracetamol,1118
Mypara 100,Paracetamol,1118
Mypara 150,Paracetamol,1118
Mypara 325,Paracetamol,1118
Mypara 500,Paracetamol,1118
Mypara 650,Paracetamol,1118
Mypara ER,Paracetamol,1118
Mysoven Granules,Acetylcystein,111
Mysoven Granules 200,Acetylcystein,111
Mystrep,Streptomycin,1308
Mytob,Tobramycin,1392
Myung In Rifampicin cap.,Rifampicin,1245
Naatrapyl,Piracetam,1159
Nabifar,Natri bicarbonat,1027
Nabro,Ambroxol,175
Naceptil,Piracetam,1159
Nacofar,Natri clorid,1030
Nacova Dry Syrup,Amoxicilin và kali clavulanat,192
Nacova DT,Amoxicilin và kali clavulanat,192
Nacova-625,Amoxicilin và kali clavulanat,192
Nadecin,Isosorbid dinitrat,846
Nadeper,Dexamethason,500
Naderan,Diclofenac,515
Nadixlife,Acid nalidixic,134
Nadogrel,Clopidogrel,425
Nadroparin calcium,Nadroparin calci,1016
Nady-Anbe’tiq 850,Metformin,955
Nadylanzol,Lansoprazol,879
Nadymax 500,Azithromycin,227
NadyOflox,Ofloxacin,1076
Nafacipro,Ciprofloxacin,394
Nafisil,Terbinafin hydroclorid,1340
Nafixone,Naloxon,1018
Naformin,Metformin,955
Nagozole,Fluconazol,666
Nairet,Terbutalin sulfat,1341
Najuson Tabs.,Loratadin,923
Nakai,Clindamycin,407
Nakinase Inj,Urokinase,1419
Nakonol,Tinidazol,1383
Nalapran,Enalapril,582
Nalibigra 500,Acid nalidixic,134
Nalicid,Acid nalidixic,134
Nalidixic,Acid nalidixic,134
Nalidixic acid,Acid nalidixic,134
Nalidixic Acid Tablet IP,Acid nalidixic,134
Naligram,Acid nalidixic,134
Nalocif,Cefepim,348
Nalordia,Metformin,955
Naloxone,Naloxon,1018
Naloxone-hameln,Naloxon,1018
Naltre-50,Naltrexon,1020
Naltrexone,Naltrexon,1020
Naluzole,Fluconazol,666
Naofaramin,Diphenhydramin,542
Napain,Acid nalidixic,134
Napecolin,Clindamycin,407
Naphadocin,Doxycyclin,573
Naphalevo,Levonorgestrel,898
Naphanor,Levonorgestrel,898
Napharangan,Paracetamol,1118
Napharthyrox,Levothyroxin,900
Naphazolin MKP,Naphazolin,1023
Naphazoline,Naphazolin,1023
Napincure-10,Nifedipin,1056
Napincure-20,Nifedipin,1056
Napocef,Ofloxacin,1076
Naporexil-275,Naproxen,1024
Naprofar,Naproxen,1024
Naptogast 20,Pantoprazol,1115
Naptogast 40,Pantoprazol,1115
Narcutin,Gabapentin,705
Narigi-250,Naproxen,1024
Narigi-500,Naproxen,1024
Narita,Budesonid,274
Nariz 5,Flunarizin,678
Narofil,Meropenem,950
Naroxol,Ambroxol,175
Nasiflu-GW,Clopidogrel,425
Naslim,Calcitonin,301
Nasonex,Mometason furoat,1003
Natacare,Natamycin,1026
Natacina,Natamycin,1026
Natafree,Piracetam,1159
Natamocin,Natamycin,1026
Natasan,Natamycin,1026
Nat-D,Vitamin D và các thuốc tương tự,1475
Natopherol,Alpha tocopherol,165
Natri clorid F.T,Natri clorid,1030
Natural Vitamin E400 TR-G,Alpha tocopherol,165
Naturimine 50,Dimenhydrinat,536
Nautamine,Diphenhydramin,542
Navacarzol,Carbimazol,323
Navadiab,Gliclazid,729
Navamin 500,Metformin,955
Navamin 1000,Metformin,955
Navedro Eye Drops,Levofloxacin,890
Navelbine,Vinorelbin tartrat,1472
Nawazit,Azithromycin,227
Nawotax,Cefotaxim,357
Nawtenim,Diphenhydramin,542
Naxenfen,Naproxen,1024
Nazoster,Mometason furoat,1003
Nccep,Cefpodoxim proxetil,363
NDC,Aciclovir 200 - Aciclovir,114
NDC,Allopurinol 300 - Alopurinol,162
NDC-Alverin,Alverin citrat,172
NDC-Amlodipin 5,Amlodipin,187
NDC-Atenolol 50,Atenolol,219
chế HMG,CoA reductase,285
chế HMG,CoA reductase,285
NDC,Clarithromycin - Clarithromycin,404
NDC,Clindamycin 150 - Clindamycin,407
NDC-Ciprofloxacin,Ciprofloxacin,394
NDC-Diclofenac 50,Diclofenac,515
NDC-Enalapril 5,Enalapril,582
NDC-Enalapril 10,Enalapril,582
NDC-Erythromycin 250,Erythromycin,607
NDC-Gliclazid 80,Gliclazid,729
NDC-Loperamid,Loperamid,918
NDC-Meloxicam 15,Meloxicam,940
NDC-Metformin 500,Metformin,955
NDC-Metronidazol 250,Metronidazol,979
NDC-Piroxicam 20,Piroxicam,1160
NDC-Propranolol,Propranolol,1203
NDC-Tinidazol,Tinidazol,1383
Neazi,Azithromycin,227
Nebido,Testosteron,1344
Nebra,Tobramycin,1392
Necaral-2,Glimepirid,731
Necpime,Cefepim,348
Nectram,Ceftriaxon,371
Nedomir-25,Sertralin,1283
Nedomir-50,Sertralin,1283
Nedomir-100,Sertralin,1283
Nefazan,Clopidogrel,425
Nefian,Lansoprazol,879
Nefiaso,Ceftriaxon,371
Nefiprazol,Rabeprazol,1228
Nefitaz,Ceftazidim,368
Nefithio,Ethionamid,636
Nefizoline,Cefazolin,343
Nefsan 10,Nifedipin,1056
Nefsan 5,Nifedipin,1056
Negacef,Cefuroxim,375
Negacef 250,Cefuroxim,375
Negacef 500,Cefuroxim,375
Negaflox,Norfloxacin,1069
Negatidazol,Tinidazol,1383
Negradixid,Acid nalidixic,134
Negrative,Acid nalidixic,134
Neklitro-500,Clarithromycin,404
Nelabocin,Cefuroxim,375
Nelfinavir mesilate,Nelfinavir mesilat,1035
Nelidevi,Methylprednisolon,969
Nelticine Inj,Netilmicin,1042
Neltistil Inj.,Netilmicin,1042
Nenvofam,Famotidin,648
Neo-Allerfar,Diphenhydramin,542
Neocam,Meloxicam,940
Neocexone,Ceftriaxon,371
Neocin,Neomycin,1038
Neoforazone,Cefoperazon natri,354
Neofoxime,Cefotaxim,357
Neomycin,Euvipharm - Neomycin,1038
Neo-Pyrazon,Diclofenac,515
Neopyrin AM/AM,Paracetamol,1118
Neopyrin GR/GR,Paracetamol,1118
Neopyrin PK/PK,Paracetamol,1118
Neopyrin WH/AM,Paracetamol,1118
Neopyrin WH/GR,Paracetamol,1118
Neordac 100,Celecoxib,379
Neordac 200,Celecoxib,379
Neoroxime,Cefuroxim,375
Neostigmine,Neostigmin,1039
Neostigmine-hameln,Neostigmin,1039
Neostoguard,Sulpirid,1314
Neotabine Inj,Gemcitabin hydroclorid,716
Neotabine Inj,Gemcitabin hydroclorid,716
Neotazin,Trimetazidin,1412
Neotazin MR,Trimetazidin,1412
Neounixan Inj.,Ceftazidim,368
Neozith 250,Azithromycin,227
Nepar- 10,Alendronat natri,157
Nepatic,Gabapentin,705
Nepotel-100,Cefpodoxim proxetil,363
Nepotel-200,Cefpodoxim proxetil,363
Neprox-100,Cefixim,351
Neprox-200,Cefixim,351
Nerbavex,Gabapentin,705
Nergamdicin,Acid nalidixic,134
Neriman,Cefotiam hydroclorid,360
Nertrobiine,Piracetam,1159
Nervetam,Piracetam,1159
Nesamid inj.,Acid tranexamic,139
Nescine-400,Cimetidin,389
Nesfulvin-250,Griseofulvin,758
Nesfulvin-500,Griseofulvin,758
Nesmet,Metformin,955
Nesmox,Amoxicilin,188
Nesmox-250,Amoxicilin,188
Nesmox-500,Amoxicilin,188
Nestoflox,Ofloxacin,1076
Nestromycin-250,Erythromycin,607
Netlisan,Netilmicin,1042
Netromycin tiêm,Netilmicin,1042
Neubatel,Gabapentin,705
Neumomicid,Spiramycin,1299
Neupencap,Gabapentin,705
Neupogen,Filgrastim,659
Neuprolox,Ciprofloxacin,394
Neurica-100,Pregabalin,1176
Neurica-75,Pregabalin,1176
NeuroBPlus-B1,Thiamin,1363
Neurobrain 300,Gabapentin,705
Neurocetam-400,Piracetam,1159
Neurocetam-800,Piracetam,1159
Neurofit,Piracetam,1159
Neurofit Forte,Piracetam,1159
Neurogesic 300,Gabapentin,705
Neurogopen,Gabapentin,705
Neurohadine,Gabapentin,705
Neuronstad,Gabapentin,705
Neurontin,Gabapentin,705
Neuropentin,Gabapentin,705
Nefian,Lansoprazol,879
Nefiaso,Ceftriaxon,371
Nefiprazol,Rabeprazol,1228
Nefitaz,Ceftazidim,368
Nefithio,Ethionamid,636
Nefizoline,Cefazolin,343
Nefsan 10,Nifedipin,1056
Nefsan 5,Nifedipin,1056
Negacef,Cefuroxim,375
Negacef 250,Cefuroxim,375
Negacef 500,Cefuroxim,375
Negaflox,Norfloxacin,1069
Negatidazol,Tinidazol,1383
Negradixid,Acid nalidixic,134
Negrative,Acid nalidixic,134
Neklitro-500,Clarithromycin,404
Nelabocin,Cefuroxim,375
Nelfinavir mesilate,Nelfinavir mesilat,1035
Nelidevi,Methylprednisolon,969
Nelticine Inj,Netilmicin,1042
Neltistil Inj.,Netilmicin,1042
Nenvofam,Famotidin,648
Neo-Allerfar,Diphenhydramin,542
Neocam,Meloxicam,940
Neocexone,Ceftriaxon,371
Neocin,Neomycin,1038
Neoforazone,Cefoperazon natri,354
Neofoxime,Cefotaxim,357
Neomycin,Euvipharm - Neomycin,1038
Neo-Pyrazon,Diclofenac,515
Neopyrin AM/AM,Paracetamol,1118
Neopyrin GR/GR,Paracetamol,1118
Neopyrin PK/PK,Paracetamol,1118
Neopyrin WH/AM,Paracetamol,1118
Neopyrin WH/GR,Paracetamol,1118
Neordac 100,Celecoxib,379
Neordac 200,Celecoxib,379
Neoroxime,Cefuroxim,375
Neostigmine,Neostigmin,1039
Neostigmine-hameln,Neostigmin,1039
Neostoguard,Sulpirid,1314
Neotabine Inj,Gemcitabin hydroclorid,716
Neotabine Inj,Gemcitabin hydroclorid,716
Neotazin,Trimetazidin,1412
Neotazin MR,Trimetazidin,1412
Neounixan Inj.,Ceftazidim,368
Neozith 250,Azithromycin,227
Nepar- 10,Alendronat natri,157
Nepatic,Gabapentin,705
Nepotel-100,Cefpodoxim proxetil,363
Nepotel-200,Cefpodoxim proxetil,363
Neprox-100,Cefixim,351
Neprox-200,Cefixim,351
Nerbavex,Gabapentin,705
Nergamdicin,Acid nalidixic,134
Neriman,Cefotiam hydroclorid,360
Nertrobiine,Piracetam,1159
Nervetam,Piracetam,1159
Nesamid inj.,Acid tranexamic,139
Nescine-400,Cimetidin,389
Nesfulvin-250,Griseofulvin,758
Nesfulvin-500,Griseofulvin,758
Nesmet,Metformin,955
Nesmox,Amoxicilin,188
Nesmox-250,Amoxicilin,188
Nesmox-500,Amoxicilin,188
Nestoflox,Ofloxacin,1076
Nestromycin-250,Erythromycin,607
Netlisan,Netilmicin,1042
Netromycin tiêm,Netilmicin,1042
Neubatel,Gabapentin,705
Neumomicid,Spiramycin,1299
Neupencap,Gabapentin,705
Neupogen,Filgrastim,659
Neuprolox,Ciprofloxacin,394
Neurica-100,Pregabalin,1176
Neurica-75,Pregabalin,1176
NeuroBPlus-B1,Thiamin,1363
Neurobrain 300,Gabapentin,705
Neurocetam-400,Piracetam,1159
Neurocetam-800,Piracetam,1159
Neurofit,Piracetam,1159
Neurofit Forte,Piracetam,1159
Neurogesic 300,Gabapentin,705
Neurogopen,Gabapentin,705
Neurohadine,Gabapentin,705
Neuronstad,Gabapentin,705
Neurontin,Gabapentin,705
Neuropentin,Gabapentin,705
Neuropyl,Piracetam,1159
Neuropyl 400,Piracetam,1159
Neuropyl 800,Piracetam,1159
Neu-Stam,Piracetam,1159
Neu-Stam 800,Piracetam,1159
Neutasol,Clobetasol propionat,411
Neutracet,Piracetam,1159
Neutrofil 30,Filgrastim,659
Neutrofil 48,Filgrastim,659
Neutromax,Filgrastim,659
Nevakson,Ceftriaxon,371
Nevicure,Nevirapin,1045
Nevirapine,Nevirapin,1045
Nevirapine 200-SPM,Nevirapin,1045
Nevirapine Stada,Nevirapin,1045
Nevula 200,Nevirapin,1045
New F,Fluocinolon acetonid,679
New Oral,Cefpodoxim proxetil,363
Newaltidin,Loratadin,923
Newbivo,Bromhexin hydroclorid,269
Newcamex,Cefadroxil,332
Newcefix,Cefixim,351
Newcepim,Cefepim,348
Newcepime,Cefepim,348
Newcerixone Inj.,Ceftriaxon,371
Newcetoxime Inj,Cefotaxim,357
Newcimax,Amoxicilin,188
Newclen,Flunarizin,678
Newclor cap,Cefaclor,329
New-Diatabs,Atapulgit,218
Newfazidim Inj.,Ceftazidim,368
Newfenac,Diclofenac,515
Newfobizon Inj,Cefoperazon natri,354
Newfozexim Inj.,Cefuroxim,375
Newfuxin Inj.,Cefotaxim,357
Newgala,Galantamin,708
Newgenacyclovir,Aciclovir,114
Newgengenetil,Netilmicin,1042
Newgenlincotacin,Lincomycin hydroclorid,905
Newgenneolacincap,Clarithromycin,404
Newgi 5,Benzoyl peroxid,246
Newgifar,Ketoconazol,861
Newgifar,Ketoconazol,861
Newitock tabs,Formoterol fumarat,696
Newketocin Inj.,Ketorolac,867
Newlotin,Cefradin,366
Newmetforn Inj.,Meropenem,950
Neworadox caps,Cefadroxil,332
Newpenem,Imipenem và thuốc ức chế enzym,800
Newpudox inj.,Pralidoxim,1167
Newsetam,Piracetam,1159
Newsintem Inj,Imipenem và thuốc ức chế enzym,800
Newtiam,Cefotiam hydroclorid,360
Newtiroxim Inj,Cefuroxim,375
Newtobi Inj.,Tobramycin,1392
Newtop 200,Cefixim,351
Newtop Sachet,Cefixim,351
Newunita,Methylprednisolon,969
Newvent,Salbutamol (dùng trong hô hấp),1262
Newxalotil Tab.,Cefpodoxim proxetil,363
Newzim,Ceftazidim,368
Nexium,Esomeprazol,619
Nextin,Netilmicin,1042
Nextin 150,Netilmicin,1042
NIC Besolvin 4,Bromhexin hydroclorid,269
NIC Besolvin 8,Bromhexin hydroclorid,269
NIC- Dextalcin,Betamethason,252
Nicardipine,Nicardipin,1051
Nicardipine Aguettant,Nicardipin,1051
NIC-CLARI,Clarithromycin,404
Nicee,Alpha tocopherol,165
Niceftam,Ceftazidim,368
Nicevir,Ribavirin,1240
Niclosamide,Niclosamid,1052
Nicnotaxgin,Paracetamol,1118
Nicobion 500,Nicotinamid,1054
Nicofort,Nicotinamid,1054
Nicomen,Nicorandil,1053
Nicotinamide,Nicotinamid,1054
Nicpostinew,Levonorgestrel,898
Nicspa,Alverin citrat,172
NIC-SPA,Alverin citrat,172
Nicsun,Tetracyclin,1349
Nic-Zoral,Ketoconazol,861
Nidal Day,Ketoprofen,865
Nidal Fort,Ketoprofen,865
Nidason,Clotrimazol,452
Nidason Gyco,Clotrimazol,452
Nidem,Gliclazid,729
Nidopin,Nimodipin,1060
Nife-Boston 10,Nifedipin,1056
Nifedi-Denk 10 Retard,Nifedipin,1056
Nifedin,Nifedipin,1056
Nifedipin 20 Retard,Nifedipin,1056
Nifedipin Hasan 20 retard,Nifedipin,1056
Nifedipin Stada,Nifedipin,1056
Nifedipin T20 Stada retard,Nifedipin,1056
Nifedipin T20 Stada retard,Nifedipin,1056
Nifedipine,Nifedipin,1056
NifeHexal 30 LA,Nifedipin,1056
Nifehexal retard,Nifedipin,1056
Nifeital,Nifedipin,1056
Nifephabaco,Nifedipin,1056
Niflox 250,Levofloxacin,890
Niflox 500,Levofloxacin,890
Niftclar DT-100,Cefpodoxim proxetil,363
Nikoran IV 2,Nicorandil,1053
Nikoran-10,Nicorandil,1053
Nilgar 15,Pioglitazon,1151
Nilgar 30,Pioglitazon,1151
Nilibac 250,Cefuroxim,375
Nilibac 500,Cefuroxim,375
Nilkey,Fluoxetin,684
Nilofact,Piracetam,1159
Nilsu,Flunarizin,678
Nimemax 100,Cefixim,351
Nimemax 200,Cefixim,351
Nimesulide,Nimesulid,1058
Nimodi,Nimodipin,1060
Nimodipine,Nimodipin,1060
Nimotop,Nimodipin,1060
Nimotop I.V,Nimodipin,1060
Nimovac-V,Nimodipin,1060
Ninzats,Cefuroxim,375
Ninzats 250,Cefuroxim,375
Ninzats 500,Cefuroxim,375
Niozacef,Cefazolin,343
Nisxil-500,Cefadroxil,332
Nitroglycerin,Glyceryl trinitrat,751
Nivirxone,Acid nalidixic,134
Nixki-20,Omeprazol,1080
Nizatidine,Nizatidin,1063
Nizoral,Ketoconazol,861
Nizoral cream,Ketoconazol,861
Nizoral shampoo,Ketoconazol,861
Noatanmine,Diphenhydramin,542
Nobesit 850,Metformin,955
Noblud,Cefpodoxim proxetil,363
Noblud 200,Cefpodoxim proxetil,363
Nocalzem,Diltiazem,533
Noclog,Clopidogrel,425
Noclot 75,Clopidogrel,425
Nodict,Naltrexon,1020
Nodizine,Arginin,205
Nofabri,Paracetamol,1118
Nofung,Fluconazol,666
Noklot,Clopidogrel,425
No-Lapin,Loratadin,923
Nolibic,Meloxicam,940
Nolvadex,Tamoxifen,1325
Nolvadex-D,Tamoxifen,1325
Nomigrain,Flunarizin,678
Nontamin-Extra,Diphenhydramin,542
Nontamin-Fort,Diphenhydramin,542
Noopi Piracetam,Piracetam,1159
Nooptropyl,Piracetam,1159
Nootripam 400,Piracetam,1159
Nootripam 800,Piracetam,1159
Nootropil,Piracetam,1159
Nootropyl,Piracetam,1159
Nopera,Cefoperazon natri,354
Nopetigo,Acid fusidic,129
Noradrenaline,Noradrenalin,1065
Noradrenaline Base Aguettant,Noradrenalin,1065
Noramoxical,Amoxicilin và kali clavulanat,192
Noramtec,Norfloxacin,1069
Noraquick 300,Gabapentin,705
Norbiotic,Norfloxacin,1069
Norcuron,Vancomycin,1455
Norepinephrin,Noradrenalin,1065
Norepinephrine,Noradrenalin,1065
Nidal Fort,Ketoprofen,865
Nidason,Clotrimazol,452
Nidason Gyco,Clotrimazol,452
Nidem,Gliclazid,729
Nidopin,Nimodipin,1060
Nife-Boston 10,Nifedipin,1056
Nifedi-Denk 10 Retard,Nifedipin,1056
Nifedin,Nifedipin,1056
Nifedipin 20 Retard,Nifedipin,1056
Nifedipin Hasan 20 retard,Nifedipin,1056
Nifedipin Stada,Nifedipin,1056
Nifedipin T20 Stada retard,Nifedipin,1056
Nifedipin T20 Stada retard,Nifedipin,1056
Nifedipine,Nifedipin,1056
NifeHexal 30 LA,Nifedipin,1056
Nifehexal retard,Nifedipin,1056
Nifeital,Nifedipin,1056
Nifephabaco,Nifedipin,1056
Niflox 250,Levofloxacin,890
Niflox 500,Levofloxacin,890
Niftclar DT-100,Cefpodoxim proxetil,363
Nikoran IV 2,Nicorandil,1053
Nikoran-10,Nicorandil,1053
Nilgar 15,Pioglitazon,1151
Nilgar 30,Pioglitazon,1151
Nilibac 250,Cefuroxim,375
Nilibac 500,Cefuroxim,375
Nilkey,Fluoxetin,684
Nilofact,Piracetam,1159
Nilsu,Flunarizin,678
Nimemax 100,Cefixim,351
Nimemax 200,Cefixim,351
Nimesulide,Nimesulid,1058
Nimodi,Nimodipin,1060
Nimodipine,Nimodipin,1060
Nimotop,Nimodipin,1060
Nimotop I.V,Nimodipin,1060
Nimovac-V,Nimodipin,1060
