DrugName,ActiveIngredient,PageNumber,Category,Is_Prescription
Miracef 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Miracef 50 OS,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Miracin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Miraclav 1000,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Miraclav 625,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Miradone,Amiodaron,180,Thuốc chống loạn nhịp tim,False
Mirafo prefilled,Erythropoietin,611,Thuốc kích thích tạo hồng cầu,False
Mirafo prefilled inj,Erythropoietin,611,Thuốc kích thích tạo hồng cầu,False
Mirapime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4,False
Mirastad 15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirastad 30,Mirtazapin,993,Thuốc chống trầm cảm,False
Miratan 25,Losartan,927,Chất đối kháng thụ thể at,False
Miratan 50,Losartan,927,Chất đối kháng thụ thể at,False
Miratel 40,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii,False
Miratel 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii,False
Miratex susp,Sucralfat,1310,"Thuốc bảo vệ niêm mạc dạ dày; điều trị loét dạ dày,",False
Mirazep-15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirazep-30,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Mirgy,Gabapentin,705,"Thuốc chống động kinh, điều trị đau thần kinh",False
Mirtaz 15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirtaz 30,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirtazapine,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirteva,Mirtazapin,993,Thuốc chống trầm cảm,False
Misadin Tab.,Doxazosin,566,Thuốc ức chế thụ thể alpha-adrenergic,False
Misanlugel,Nhôm phosphat,1048,Kháng acid,False
Misoclear,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Misoplus,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,False
Misoprostol Stada,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Misugal,Paracetamol,1118,Giảm đau; hạ sốt,False
Mitafix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Miten-400,Albendazol,150,Thuốc trị giun sán,False
Mithoease,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Mitotax,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitotax 100,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitotax 250,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitoxantron “Ebewe”,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitoxantrone hydrochloride,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitoxgen,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitrazin,Mirtazapin,993,Thuốc chống trầm cảm,False
Mitricort,Miconazol,984,Nhóm imidazol chống nấm,False
Midefix 10,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midefix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midefix 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midefix 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midiltec,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h",False
Midoxime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4,False
Midoxime 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midoxime 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Midoxime 50,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Mifanicol,Cloramphenicol,431,Kháng sinh,False
Miganil 5,Flunarizin,678,Thuốc chẹn kênh calci,False
Migariz-5,Flunarizin,678,Thuốc chẹn kênh calci,False
Migazine-5,Flunarizin,678,Thuốc chẹn kênh calci,False
Migocap 10,Flunarizin,678,Thuốc chẹn kênh calci,False
Migranol,Sumatriptan,1316,Chưa phân loại,False
Mikacin,Amikacin,176,Kháng sinh họ aminoglycosid,False
Mikalogis,Amikacin,176,Kháng sinh họ aminoglycosid,False
Miko-Penotran,Miconazol,984,Nhóm imidazol chống nấm,False
Milanem Inj,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,False
Milanmac,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Milcerof Inj.,Ceftriaxon,371,Kháng sinh nhóm cephalosporin thế hệ 3,False
Mildocap,Captopril,314,Thuốc ức chế men chuyển,False
Mildotab,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối",False
Mildotab-10,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối",False
Mildotac,Ketorolac,867,Chưa phân loại,False
Mileat Tab.,Triamcinolon,1407,Glucocorticoid,False
Milflox,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Milrinone,Milrinon,988,Thuốc ức chế chọn lọc phosphodiesterase typ 3,False
Milurit,Alopurinol,162,Thuốc chống gút,False
Mincom,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Minicef 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Minicef 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Mininif,Nifedipin,1056,"Thuốc chẹn kênh calci dẫn xuất của 1,4 dihydropyridin",False
Minipir,Piracetam,1159,Thuốc trị giun,False
Minocycline,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin,False
Minolox-100,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin,False
Minolox-50,Minocyclin,990,Kháng sinh bán tổng hợp dẫn chất tetracyclin,False
Minovir,Tenofovir,1335,Thuốc kháng retrovirus,False
Mioxen 625,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Mipanti,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam,False
Mipartor,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat),False
Miracef 100,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Miracef 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Miracef 50 OS,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Miracin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon),False
Miraclav 1000,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Miraclav 625,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Miradone,Amiodaron,180,Thuốc chống loạn nhịp tim,False
Mirafo prefilled,Erythropoietin,611,Thuốc kích thích tạo hồng cầu,False
Mirafo prefilled inj,Erythropoietin,611,Thuốc kích thích tạo hồng cầu,False
Mirapime,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4,False
Mirastad 15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirastad 30,Mirtazapin,993,Thuốc chống trầm cảm,False
Miratan 25,Losartan,927,Chất đối kháng thụ thể at,False
Miratan 50,Losartan,927,Chất đối kháng thụ thể at,False
Miratel 40,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii,False
Miratel 80,Telmisartan,1328,Thuốc đối kháng thụ thể angiotensin ii,False
Miratex susp,Sucralfat,1310,"Thuốc bảo vệ niêm mạc dạ dày; điều trị loét dạ dày,",False
Mirazep-15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirazep-30,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirazole,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Mirgy,Gabapentin,705,"Thuốc chống động kinh, điều trị đau thần kinh",False
Mirtaz 15,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirtaz 30,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirtazapine,Mirtazapin,993,Thuốc chống trầm cảm,False
Mirteva,Mirtazapin,993,Thuốc chống trầm cảm,False
Misadin Tab.,Doxazosin,566,Thuốc ức chế thụ thể alpha-adrenergic,False
Misanlugel,Nhôm phosphat,1048,Kháng acid,False
Misoclear,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Misoplus,Methylprednisolon,969,Thuốc glucocorticoid tổng hợp,False
Misoprostol Stada,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Misugal,Paracetamol,1118,Giảm đau; hạ sốt,False
Mitafix 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Miten-400,Albendazol,150,Thuốc trị giun sán,False
Mithoease,Misoprostol,994,"Thuốc bảo vệ niêm mạc dạ dày và ức chế bài tiết acid,",False
Mitotax,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitotax 100,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitotax 250,Paclitaxel,1105,Thuốc thúc đẻ -  hormon thùy sau tuyến yên,False
Mitoxantron “Ebewe”,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitoxantrone hydrochloride,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitoxgen,Mitoxantron hydroclorid,999,Thuốc chống ung thư,False
Mitrazin,Mirtazapin,993,Thuốc chống trầm cảm,False
Mitricort,Miconazol,984,Nhóm imidazol chống nấm,False
Mitricort 200,Miconazol,984,Nhóm imidazol chống nấm,False
Mitux,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mitux E,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mixtard 30,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",False
Mixtard 30 FlexPen,Insulin,810,"Hormon làm hạ glucose máu, hormon chống đái tháo",False
Mixylin,Doxycyclin,573,Kháng sinh nhóm tetracyclin,False
Mizatin cap,Nizatidin,1063,Thuốc kháng thụ thể h,False
MMR -II,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại,False
MMR vắc xin,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại,False
MMR vaccine,Vắc xin sởi - quai bị - rubella,1444,Chưa phân loại,False
Mobic,Meloxicam,940,Thuốc chống viêm không steroid,False
Mobilat S,Indomethacin,808,Thuốc chống viêm không steroid,False
Mobimed,Meloxicam,940,Thuốc chống viêm không steroid,False
"Mobimed 7,5",Meloxicam,940,Thuốc chống viêm không steroid,False
Mobimed 15,Meloxicam,940,Thuốc chống viêm không steroid,False
Mobitena,Meloxicam,940,Thuốc chống viêm không steroid,False
Mocecil,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin",False
Modalim,Ciprofibrat,392,Thuốc hạ lipid huyết (nhóm fibrat),False
Mofen-400,Ibuprofen,786,Thuốc chống viêm không steroid,False
Mofirum,Domperidon,559,Thuốc nhuận tràng làm mềm phân,False
Moflox,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moktin,Ranitidin,1232,Đối kháng thụ thể h2 histamin,False
Molid 300,Gemfibrozil,718,Thuốc chống tăng lipid huyết,False
Molocam,Meloxicam,940,Thuốc chống viêm không steroid,False
Momate,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào,False
Mome-Air,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào,False
Momesone,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào,False
Mometasone furoate,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào,False
Momvina,Dimenhydrinat,536,"Thuốc kháng histamin (h1) gây ngủ, thế hệ thứ nhất",False
Mon Parin,Heparin,767,Chống đông máu,False
Monalis,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4,False
Monan-MJ,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam",False
Monbig,Meloxicam,940,Thuốc chống viêm không steroid,False
Monizol,Metronidazol,979,Thuốc diệt giun sán,False
Monocan 150,Fluconazol,666,Chống nấm,False
Monocef,O100 - Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Monocef,O200 - Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3,False
Monoclarium,Clarithromycin,404,Kháng sinh macrolid bán tổng hợp,False
Monovas,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối",False
Moov 7.5,Meloxicam,940,Thuốc chống viêm không steroid,False
Moov 15,Meloxicam,940,Thuốc chống viêm không steroid,False
Mopalic,Meloxicam,940,Thuốc chống viêm không steroid,False
Moprazol,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton",False
Moquin,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moquin tab,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moratam,Piracetam,1159,Thuốc trị giun,False
Morcvax,Vắc xin tả,1443,Thuốc tạo miễn dịch chủ động (vắc xin),False
Morecare Tablet,Metformin,955,Thuốc giải độc,False
Morecef 100,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Morecef 200,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Morganin,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase",False
Morif,Meloxicam,940,Thuốc chống viêm không steroid,False
Morphin,Morphin sulfat,1005,"Thuốc giảm đau gây nghiện, opioid",False
Morphine sulfate,Morphin sulfat,1005,"Thuốc giảm đau gây nghiện, opioid",False
Motalv,Alverin citrat,172,Chống co thắt cơ trơn,False
Motamse,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối",False
Motaneal,Mometason furoat,1003,Thuốc kích thích dòng bạch cầu hạt - đại thực bào,False
Motidram,Cinarizin,391,Kháng histamin h,False
Motiridon,Domperidon,559,Thuốc nhuận tràng làm mềm phân,False
Motisin inj.,Chymotrypsin,382,Enzym thủy phân protein (trợ giúp phẫu thuật),False
Mouthpaste,Triamcinolon,1407,Glucocorticoid,False
Movapycin,Spiramycin,1299,Kháng sinh (aminocyclitol),False
Movepain,Ketorolac,867,Chưa phân loại,False
Moxacin,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin",False
Moxflo,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moxibac,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moxibact-400,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moxi-Bio,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moxicle,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Moxicle Duo,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Moxilen,Amoxicilin,188,"Kháng sinh nhóm beta-lactam, aminopenicilin",False
Moxipex 400,Moxifloxacin hydroclorid,1011,Kháng sinh  nhóm fluoroquinolon,False
Moz-Bite,Crotamiton,469,Thuốc chống dị ứng,False
MPClor,Cefaclor,329,"Kháng sinh uống, nhóm cephalosporin thế hệ 2",False
Mucapten,Paracetamol,1118,Giảm đau; hạ sốt,False
Mucobrima Granule,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mucocet,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mucokapp,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mucorid Granules,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mucoserine,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mucosolvan,Ambroxol,175,Thuốc long đờm,False
Mudis,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Mufmix,Esomeprazol,619,Thuốc ức chế bài tiết acid dạ dày thuộc nhóm ức chế,False
Mulasmin-500,Azithromycin,227,Thuốc kháng sinh,False
Multisef,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
Multuc 200,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mumtaz,Meloxicam,940,Thuốc chống viêm không steroid,False
Muối dinatri của acid etidromic,Etidronat dinatri,639,Chất ức chế tiêu xương; thuốc chống tăng calci huyết,False
Muscetam,Piracetam,1159,Thuốc trị giun,False
Musidin,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw",False
Musily,Natri clorid,1030,Cung cấp chất điện giải,False
Mussan,Ambroxol,175,Thuốc long đờm,False
Mustret 500,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Mutastyl,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxco,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxenon,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxol,Ambroxol,175,Thuốc long đờm,False
Muxystine,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
MVV AC,Vắc xin sởi,1438,Vắc xin sống giảm độc lực,False
M-Xime,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Mybio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Mybrucin,Azithromycin,227,Thuốc kháng sinh,False
Mycomucc,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mycorozal,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Mycosyst,Fluconazol,666,Chống nấm,False
Mydriacyl,Tropicamid,1417,"Kháng histamin thế hệ 1, chất đối kháng thụ thể h",False
Myercough,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Myeromax 500,Azithromycin,227,Thuốc kháng sinh,False
Mykezol,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Myllancid 20,Rabeprazol,1228,Thuốc ức chế bơm proton,False
Mylom drops,Simeticon,1291,Chống đầy hơi,False
Myocur,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myocur Forte,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myolaxyl,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myoless Tab,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Myonal,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Myotab tab.,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Mypara,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 100,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 150,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 325,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 500,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 650,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara ER,Paracetamol,1118,Giảm đau; hạ sốt,False
Mysoven Granules,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mysoven Granules 200,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mystrep,Streptomycin,1308,Kháng sinh nhóm aminoglycosid,False
Mytob,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,False
Myung In Rifampicin cap.,Rifampicin,1245,Vitamin,False
Naatrapyl,Piracetam,1159,Thuốc trị giun,False
Nabifar,Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Nabro,Ambroxol,175,Thuốc long đờm,False
Naceptil,Piracetam,1159,Thuốc trị giun,False
Nacofar,Natri clorid,1030,Cung cấp chất điện giải,False
Nacova Dry Syrup,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nacova DT,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nacova-625,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nadecin,Isosorbid dinitrat,846,Thuốc giãn mạch,False
Nadeper,Dexamethason,500,Glucocorticoid,False
Naderan,Diclofenac,515,Thuốc chống viêm không steroid,False
Nadixlife,Acid nalidixic,134,"Vì vậy, không trộn",True
Nadogrel,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu,False
Nadroparin calcium,Nadroparin calci,1016,Chống đông máu nhóm heparin trọng lượng phân tử,False
Nady-Anbe’tiq 850,Metformin,955,Thuốc giải độc,False
Nadylanzol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Nadymax 500,Azithromycin,227,Thuốc kháng sinh,False
NadyOflox,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Nafacipro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon,False
Nafisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Nafixone,Naloxon,1018,Thuốc đối kháng opiat; thuốc giải độc opiat,False
Naformin,Metformin,955,Thuốc giải độc,False
Nagozole,Fluconazol,666,Chống nấm,False
Nairet,Terbutalin sulfat,1341,"Thuốc chống nấm, dẫn chất allylamin",False
Najuson Tabs.,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h",False
Nakai,Clindamycin,407,Kháng sinh họ lincosamid,False
Nakinase Inj,Urokinase,1419,"Thuốc da liễu, lợi tiểu thẩm thấu",False
Nakonol,Tinidazol,1383,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta",False
Nalapran,Enalapril,582,"Thuốc chống tăng huyết áp, nhóm ức chế enzym",False
Nalibigra 500,Acid nalidixic,134,"Vì vậy, không trộn",True
Nalicid,Acid nalidixic,134,"Vì vậy, không trộn",True
Nalidixic,Acid nalidixic,134,"Vì vậy, không trộn",True
Nalidixic acid,Acid nalidixic,134,"Vì vậy, không trộn",True
Nalidixic Acid Tablet IP,Acid nalidixic,134,"Vì vậy, không trộn",True
Naligram,Acid nalidixic,134,"Vì vậy, không trộn",True
Nalocif,Cefepim,348,Kháng sinh nhóm cephalosporin thế hệ 4,False
Nalordia,Metformin,955,Thuốc giải độc,False
Naloxone,Naloxon,1018,Thuốc đối kháng opiat; thuốc giải độc opiat,False
Naloxone-hameln,Naloxon,1018,Thuốc đối kháng opiat; thuốc giải độc opiat,False
Naltre-50,Naltrexon,1020,Thuốc giải độc; thuốc đối kháng opiat,False
Multisef,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2,False
Multuc 200,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mumtaz,Meloxicam,940,Thuốc chống viêm không steroid,False
Muối dinatri của acid etidromic,Etidronat dinatri,639,Chất ức chế tiêu xương; thuốc chống tăng calci huyết,False
Muscetam,Piracetam,1159,Thuốc trị giun,False
Musidin,Tizanidin hydroclorid,1390,"Giãn cơ xương, tác động hệ tktw",False
Musily,Natri clorid,1030,Cung cấp chất điện giải,False
Mussan,Ambroxol,175,Thuốc long đờm,False
Mustret 500,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Mutastyl,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxco,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxenon,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Muxol,Ambroxol,175,Thuốc long đờm,False
Muxystine,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
MVV AC,Vắc xin sởi,1438,Vắc xin sống giảm độc lực,False
M-Xime,Cefixim,351,Kháng sinh cephalosporin thế hệ 3,False
Mybio,Lactobacillus acidophilus,874,Vi khuẩn sinh acid lactic,False
Mybrucin,Azithromycin,227,Thuốc kháng sinh,False
Mycomucc,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mycorozal,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Mycosyst,Fluconazol,666,Chống nấm,False
Mydriacyl,Tropicamid,1417,"Kháng histamin thế hệ 1, chất đối kháng thụ thể h",False
Myercough,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Myeromax 500,Azithromycin,227,Thuốc kháng sinh,False
Mykezol,Ketoconazol,861,Chống nấm có hoạt phổ rộng,False
Myllancid 20,Rabeprazol,1228,Thuốc ức chế bơm proton,False
Mylom drops,Simeticon,1291,Chống đầy hơi,False
Myocur,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myocur Forte,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myolaxyl,Mephenesin,944,Thuốc giãn cơ và giảm đau,False
Myoless Tab,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Myonal,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Myotab tab.,Eperison hydroclorid,592,Thuốc giãn cơ vân,False
Mypara,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 100,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 150,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 325,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 500,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara 650,Paracetamol,1118,Giảm đau; hạ sốt,False
Mypara ER,Paracetamol,1118,Giảm đau; hạ sốt,False
Mysoven Granules,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mysoven Granules 200,Acetylcystein,111,Thuốc tiêu chất nhày; thuốc giải độc (quá liều,False
Mystrep,Streptomycin,1308,Kháng sinh nhóm aminoglycosid,False
Mytob,Tobramycin,1392,Kháng sinh nhóm aminoglycosid,False
Myung In Rifampicin cap.,Rifampicin,1245,Vitamin,False
Naatrapyl,Piracetam,1159,Thuốc trị giun,False
Nabifar,Natri bicarbonat,1027,Thuốc chống nấm (tại chỗ),False
Nabro,Ambroxol,175,Thuốc long đờm,False
Naceptil,Piracetam,1159,Thuốc trị giun,False
Nacofar,Natri clorid,1030,Cung cấp chất điện giải,False
Nacova Dry Syrup,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nacova DT,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nacova-625,Amoxicilin và kali clavulanat,192,Kháng sinh,False
Nadecin,Isosorbid dinitrat,846,Thuốc giãn mạch,False
Nadeper,Dexamethason,500,Glucocorticoid,False
Naderan,Diclofenac,515,Thuốc chống viêm không steroid,False
Nadixlife,Acid nalidixic,134,"Vì vậy, không trộn",True
Nadogrel,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu,False
Nadroparin calcium,Nadroparin calci,1016,Chống đông máu nhóm heparin trọng lượng phân tử,False
Nady-Anbe’tiq 850,Metformin,955,Thuốc giải độc,False
Nadylanzol,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton",False
Nadymax 500,Azithromycin,227,Thuốc kháng sinh,False
NadyOflox,Ofloxacin,1076,Kháng sinh nhóm quinolon,True
Nafacipro,Ciprofloxacin,394,Kháng sinh nhóm fluoroquinolon,False
Nafisil,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin",False
Nafixone,Naloxon,1018,Thuốc đối kháng opiat; thuốc giải độc opiat,False
Naformin,Metformin,955,Thuốc giải độc,False
